CAMMENU_0EV,0EV
GUIDE_DEMO_BACKLIGHT,Der er registreret modlys
GUIDE_DEMO_BACKLIGHTPORTRAIT,Der er registr. modlys og personer
GUIDE_DEMO_LANDSCAPE,Der er registreret landskab
GUIDE_DEMO_MACRO,Registr. et motiv meget tæt på
GUIDE_DEMO_PORTRAIT,Der er registreret personer
GUIDE_DEMO_TRIPOD,Der er registreret tusmørke og stativ
GUIDE_DEMO_TWILIGHT,Der er registreret tusmørke
GUIDE_DEMO_TWILIGHTPORTRAIT,Registr. tusmørke og personer
GUIDE_EFFECTLEVEL,Vælg effektniveau
GUIDE_EXIT_TOUCH,Afslutter, når LCD berøres
GUIDE_LIGHTBEAM_LEVEL,Vælg niveau for lysstråle
GUIDE_RANGE,Vælg effektområdet
GUIDE_RESIZE,Tilpasning er afsluttet
